Term,Pronunciation,Context / Example Usage,Notes,Tags
Robbert Krebbers,,,,Author
Jonas Kastberg Hinrichsen,,,,Author
Jules Jacobs,,,,Author
Derek Dreyer,,,,Author
Lars Birkedal,,,,Author
Ralf Jung,,,,Author
Peter Thiemann,,,,Author
Amin Timany,,,,Author
Frank Pfenning,Frank “Fenning”,,,Author
Amal Ahmed,,,,Author
Joseph Tassarotti,,,,Author
Stephanie Balzer,,,,Author
Filip Sieczkowski,,,,Author
Naoki Kobayashi,,,,Author
Sam Lindley,,,,Author
Radboud University Nijmegen,,,,Institution
Aarhus University,,,,Institution
Carnegie Mellon University,,CMU,,Institution
protocol,,,,
separation logic,,,,Common-term
dependent,,,,Common-term
session types,,,,
Iris,,,,theorem-proving tool
lemma,,,,Common-term
ghost,,,,
ICFP,,Conference,,Common-term
recursive,,,,Common-term
ACM,,Association for Computing Machinery,,
concurrent,,,,Common-term
recursion,,,,Common-term
endpoint,,,,
continuation,,,,
induction,,,,Common-term
Coq,“Coq”,,,Common-term programming-language theorem-prover
Hinrichsen,,,,
IMP,Like the little demon “imp”,A simple “imperative” programming language,,
semantics,,,,
mechanization,,,,
higher-order,,,,Common-term
ref,,,,
subtyping,,,,Common-term
concurrency,,,,Common-term
API,A.P.I.,Application Programming Interface,,Common-term
Honda,,,,
modality,,,,Common-term
POPL,pop-ill,Conference,,Common-term
duality,,,,
heap,,,,
Boolean,,,,
calculus,,Used to describe a core simple programming language,,Common-term
delegation,,,,
Gay ,,,,Name
Appel,,,,
Haskell,,,,Common-term programming-language
impredicative,,,,Common-term
linear,,,,Common-term
modalities,,,,Common-term
constructor,,,,Common-term
Go,,,,
O'Hearn,,,,Name
pointer,,,,Common-term
abstraction,,,,Common-term
atomic,,,,
Higher-order ghost state,,,,
Hoare,Like “horse”,,,Name
instantiation,,,,
Kokke,,,,
match,,,,
modular,,,,Common-term
Rust,,,,Common-term programming-language
Semantic,,,,Common-term
shared-memory,,,,
calculi,,,,
consistency,,Gradual typing,,theory
context,,,,Common-term
deadlock freedom,,,,
fixpoint,,,,Common-term
Java,,,,
ML,,,,Programming-language
modal,,,,
monadic,Mow-nad-ick,,,
polarity,,,,
Scala,,,,Common-term programming-language
step-indexed,,“step-indexed logical relations” “step-indexed logics” “step-indexed reasoning”,,Common-term
untyped,,,,
Wadler,,,,Name
Agda,,Agda-style,,Common-term Programming-language
Ahmed,,,,Name
allocations,,,,Common-term
axiomatic,,,,
bidirectional,,,,
binder,like in bind,,,
CACM ,,,,
category,,,,
closure,,,,Common-term
combinator,,,,Common-term
conjunction,,,,
decidable,,,,
derivation,,,,
derive,,,,
DSL,,,,
Erlang,,,,Common-term programming-language
functional programming,,,,
garbage collector,,GC,,Common-term
hinrichsen@cs.au.dk,,,,email
inductive,,,,Common-term
julesjacobs@gmail.com,,,,email
lambda calculus,lam-duh calculus,,,theory
linear Haskell,,,,
mail@robbertkrebbers.nl,,,,email
matching,,“pattern matching”,,Common-term
meta-theory,,,"also ""metatheory""",Common-term
metatheory,,,,Common-term
monoids,,,,Common-term
monotone,,,,Common-term
nondeterminism,,,,
nondeterministic,,,,
