Term,Pronunciation,Context / Example Usage,Notes,Tags
subtyping,,,,Common-term
K ,,“K axiom”,,
structs,,,,unclassified
ICFP,,,,unclassified
expression,,,,Common-term
ref,,,,
Giuseppe Castagna,,,,Author
lemma,,,,Common-term
Elixir,,,,Common-term programming-language
readonly,,,,unclassified
integer,,,,Common-term
K-step,,,,unclassified
key-types,,,,unclassified
Semantic,,,,Common-term
"cell1,2",,,,unclassified
syntax,,,,Common-term
match,,,,
nil,,,,
optional,,,,
semantics,,,,
theorem,,,,Common-term
Boolean,,,,
set-theoretic,,,,unclassified
decomposition,,,,
induction,,,,Common-term
Pfin,,,,unclassified
Erlang,,,,Common-term programming-language
pattern matching,,,,
syntactic,,,,Common-term
calculus,,Used to describe a core simple programming language,,Common-term
Castagna,,,,unclassified
struct-like,,,,unclassified
clause,,,,
JK,,,,unclassified
JavaScript,,,,Common-term programming-language
CDuce,,,,unclassified
def(R,,,,unclassified
DxD,,,,unclassified
false,,,,unclassified
map-like,,,,unclassified
matching,,“pattern matching”,,Common-term
x.e,,,,unclassified
generic,,,,
Go,,,,
Hoare,Like “horse”,,,Name
key-type,,,,unclassified
mutation,,,,
run-time,,,,unclassified
Scala,,,,Common-term programming-language
F.2,,,,unclassified
immutable,,,,Common-term
JSON,,,,unclassified
Lua,,,,unclassified
L{1,,,,unclassified
map-deletion,,,,unclassified
OCaml,,,,Common-term programming-language
Rust,,,,Common-term programming-language
x...x,,,,unclassified
arity,,,,unclassified
backtracking-free,,,,unclassified
Cardelli,,,,
component-wise,,,,unclassified
contractivity,,,,unclassified
F.3,,,,unclassified
intersection types,,,,Common-term
keyexp,,,,unclassified
KxJ,,,,unclassified
map-selection,,,,unclassified
non-empty,,,,unclassified
POPL,,,,unclassified
read-and-write,,,,unclassified
read-only,,,,unclassified
Why,,,,
x2,,,,unclassified
1x1,,,,unclassified
Algol,,,,
Benzaken,,,,unclassified
derivation,,,,
DxPfin,,,,unclassified
e2,,,,unclassified
inductive,,,,Common-term
Jref,,,,unclassified
loc(JK,,,,unclassified
M-Sel,,,,unclassified
not(R(0,,,,unclassified
polymorphic,,,,Common-term
