Term,Pronunciation,Context / Example Usage,Notes,Tags
JK,,,,unclassified
lemma,,,,Common-term
K ,,“K axiom”,,
RaTT,,,,unclassified
Async,,,,
modal,,,,
heap,,,,
induction,,,,Common-term
ICFP,,,,unclassified
FRP,,,,unclassified
context,,,,Common-term
dfix,,,,unclassified
GC,,garbage collector,,Common-term
Mogelberg,,,,unclassified
operational semantics,,,,
semantics,,,,
Ejlers,,,,unclassified
Patrick Bahr,,,,Author
Rasmus,,,,unclassified
combinator,,,,Common-term
theorem,,,,Common-term
suc,,,,unclassified
J(Sig,,,,unclassified
recursive,,,,Common-term
toggleSig,,,,unclassified
well-typed,,,,Common-term
calculus,,Used to describe a core simple programming language,,Common-term
Krishnaswami,,,,
logical relation,,,,Common-term
recNat,,,,unclassified
sigAwait,,,,unclassified
derivative,,,,
garbage collection,,GC,,Common-term
tick-free,,,,unclassified
Haskell,,,,Common-term programming-language
in1,,,,unclassified
domp,,,,unclassified
in2,,,,unclassified
Kripke,,“Kripke semantics”,,Name
reduction,,,,Common-term
recursion,,,,Common-term
zip,,,,
Fitch-style,,,,
functional programming,,,,
Graulund,,,,unclassified
keyPressed,,,,unclassified
modality,,,,Common-term
scanAwait,,,,unclassified
SIGPLAN,,,,unclassified
switchf,,,,unclassified
discrete,,,,
Elimination,,,,
field1,,,,unclassified
JFix,,,,unclassified
JNatK,,,,unclassified
JSig,,,,unclassified
linear,,,,Common-term
mouseCoord,,,,unclassified
push-only,,,,unclassified
runtime,,,,Common-term
syntax,,,,Common-term
waittoggle,,,,unclassified
abstraction,,,,Common-term
alloc,,,,unclassified
buffered-only,,,,unclassified
calculi,,,,
concurrent,,,,Common-term
https,,,,unclassified
Hudak,,,,Name
IT University of Copenhagen,,,,Institution
Jeltsch,,,,unclassified
JProd,,,,unclassified
output-compute,,,,unclassified
POPL,,,,unclassified
abstractions,,,,
Clouston,,,,unclassified
constructor,,,,Common-term
dependent,,,,Common-term
expression,,,,Common-term
floating-point,,,,unclassified
higher-order,,,,Common-term
modular,,,,Common-term
Neelakantan,,,,unclassified
time-dependent,,,,unclassified
type-level,,,,unclassified
Uldal,,,,unclassified
adjoint,,,,theory
Appel,,,,
Barenz,,,,unclassified
buffered-push,,,,unclassified
Caspi,,,,unclassified
closure,,,,Common-term
Cosserat,,,,unclassified
derivation,,,,
ESTEREL,,,,unclassified
field2,,,,unclassified
floating-point-valued,,,,unclassified
FRPNow,,,,unclassified
Koen Claessen,,,,Author
linear-time,,,,Common-term
McAllester,,,,unclassified
metatheory,,,,Common-term
modalities,,,,Common-term
Nakano,,,,unclassified
optimisation,,,,unclassified
output-end,,,,unclassified
output-skip,,,,unclassified
pattern matching,,,,
Ploeg,,,,unclassified
Pnueli,,,,unclassified
Pouzet,,,,unclassified
quantified,,,,Common-term
Ranald,,,,unclassified
run-time,,,,unclassified
Semantic,,,,Common-term
