Term,Pronunciation,Context / Example Usage,Notes,Tags
Jonathan Chan,,,,Author
Yufeng Li,,,,Author
William J. Bowman,,,,Author
Amin Timany,,,,Author
Andreas Abel,,,,Author
University of British Columbia,,Often UBC,,Institution
Coq,“Coq”,,,Common-term programming-language theorem-prover
K ,,“K axiom”,,
reduction,,,,Common-term
recursive,,,,Common-term
subtyping,,,,Common-term
theorem,,,,Common-term
inductive,,,,Common-term
fixpoint,,,,Common-term
well-formedness,,,,Common-term
IK,,A logic,,
Prop,,,,
constructor,,,,Common-term
universe,,dependent types,,theory
coinductive,,,,Common-term
induction,,,,Common-term
subject reduction,,,,Common-term
expression,,,,Common-term
normalization,,computations,,theory
syntactic,,,,Common-term
Barthe,,,,
Abel,,,,Name
calculus,,Used to describe a core simple programming language,,Common-term
well-formed,,,,Common-term
Why,,,,
case expression,,,,
consistency,,Gradual typing,,theory
cumulativity,,,,theory
judgement,,dependent types,,theory
lemma,,,,Common-term
algorithmic,,,,Common-term
Coq's,“Coq”,,,Common-term programming-language theorem-prover
higher-order,,,,Common-term
polarity,,,,
algebra,,,,
closure,,,,Common-term
dependent,,,,Common-term
polymorphism,,,,Common-term
linear,,,,Common-term
axioms,,,,
match,,,,
metatheory,,,,Common-term
syntax,,,,Common-term
ACM,,Association for Computing Machinery,,
Id,,,,
metatheoretical,,,,Common-term
polymorphic,,,,Common-term
untyped,,,,
well-typed,,,,Common-term
axiom,,,,
context,,,,Common-term
Dependent types,,,,types
distribution,,,,
inferring,,,,
lambda calculi,,,,Common-term
quantified,,,,Common-term
System F,,,,Common-term
type checker,,,,Common-term
Xi,,,,
Agda,,Agda-style,,Common-term Programming-language
AST ,A.S.T.,Abstract Syntax Tree,,
automata,,,,Common-term
Calculus of Inductive Constructions,,,,
codebase,,,,Common-term
cons,kon-ss,,,
decidability,,,,
derivation,,,,
derive,,,,
Elimination,,,,
erasure,,type erasure,,Common-term
formalization,,,,Common-term
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,
impredicative,,,,Common-term
instantiation,,,,
MLTT,,short for Martin-Lof Type Theory/dependent type,,theory
modular,,,,Common-term
monotonicity,,Mathematical property,,Common-term
nil,,,,
pattern matching,,,,
Pi, pie,dependent types,,theory
predicative,,,,Common-term
recursion,,,,Common-term
redexes,,,,Common-term
Semantic,,,,Common-term
abstraction,,,,Common-term
Bowman,,,,Name
closures,,,,Common-term
compile-time,,,,Common-term
conjunction,,,,
decidable,,,,
decomposition,,,,
dependently-typed,,,,types
expressive,,,,Common-term
force,,,,Common-term evaluation
functional programming,,,,
Go,,,,
Hindley-Milner,,,,
lambda-calculus,,,,Common-term
let-bound,,,,Common-term
Martin-Lof,,,Martin-Lôf,
ML-style,,Similar to ML programming language,,
modality,,,,Common-term
modularity,,,,Common-term
normalization by evaluation,,,,
Proof-irrelevant,,,,Common-term
propositional equality,,,,Common-term
redex,,,,
routing,,deciding which way packets of information are sent,,networking
semantics,,,,
simply-typed lambda calculus,,,,Common-term
